# =====================================================================
# Harwood (2003) - $50M budget instance
# Per-site, per-alternative values from Tables 2 and 3 of the paper.
# Columns: ResurfacingCost, SafetyImprovementCost, PSB, PTOB.
# =====================================================================

data;

param B_total := 50000000;

set PROJECTS := 1 2 3 4 5 6 7 8 9 10;
set ALTERNATIVES[1] := 0 1;
set ALTERNATIVES[2] := 0 1;
set ALTERNATIVES[3] := 0 1;
set ALTERNATIVES[4] := 0 1;
set ALTERNATIVES[5] := 0 1;
set ALTERNATIVES[6] := 0 1;
set ALTERNATIVES[7] := 0 1;
set ALTERNATIVES[8] := 0 1 2;
set ALTERNATIVES[9] := 0 1;
set ALTERNATIVES[10] := 0 1;

param ResurfacingCost :=
     1 0  0
     1 1  528803
     2 0  0
     2 1  519763
     3 0  0
     3 1  821621
     4 0  0
     4 1  475200
     5 0  0
     5 1  1180017
     6 0  0
     6 1  2508549
     7 0  0
     7 1  1503237
     8 0  0
     8 1  1398989
     8 2  1398989
     9 0  0
     9 1  1365302
    10 0  0
    10 1  1488369
;

param SafetyImprovementCost :=
     1 0  0
     1 1  0
     2 0  0
     2 1  120000
     3 0  0
     3 1  560000
     4 0  0
     4 1  572616
     5 0  0
     5 1  240000
     6 0  0
     6 1  560000
     7 0  0
     7 1  360000
     8 0  0
     8 1  180000
     8 2  680000
     9 0  0
     9 1  336000
    10 0  0
    10 1  1052781
;

param PSB :=
     1 0  0
     1 1  0
     2 0  0
     2 1  328176
     3 0  0
     3 1  1094909
     4 0  0
     4 1  775629
     5 0  0
     5 1  1355589
     6 0  0
     6 1  808637
     7 0  0
     7 1  947234
     8 0  0
     8 1  555526
     8 2  1119938
     9 0  0
     9 1  1071895
    10 0  0
    10 1  2329256
;

param PTOB :=
     1 0  0
     1 1  35107
     2 0  0
     2 1  71580
     3 0  0
     3 1  93697
     4 0  0
     4 1  58379
     5 0  0
     5 1  53029
     6 0  0
     6 1  92800
     7 0  0
     7 1  93407
     8 0  0
     8 1  150118
     8 2  150118
     9 0  0
     9 1  81343
    10 0  0
    10 1  80186
;

end;
